Title,Start Date,Audience Score,Critics Score,Audience Sentiment,Critics Sentiment
Longlegs,"Opens Jul 12, 2024",,,,
Twisters,"Opens Jul 19, 2024",,,,
The Beautiful Game,"Opened Mar 25, 2024",,90,,positive
Earlybird,"Opened Mar 25, 2024",,,,
Ciné-Guerrillas: Scenes from the Labudović Reels,"Opened Mar 25, 2024",,,,
Non-Aligned: Scenes from the Labudović Reels,"Opened Mar 25, 2024",,,,
Winnie-the-Pooh: Blood and Honey 2,"Opened Mar 26, 2024",81,52,positive,negative
Hate to Love: Nickelback,"Opened Mar 27, 2024",99,43,positive,negative
Godzilla x Kong: The New Empire,"Opened Mar 29, 2024",92,54,positive,negative
In the Land of Saints and Sinners,"Opened Mar 29, 2024",,79,,positive
Wicked Little Letters,"Opened Mar 29, 2024",,72,,positive
Lousy Carter,"Opened Mar 29, 2024",,80,,positive
La Chimera,"Opened Mar 29, 2024",,90,,positive
DogMan,"Opened Mar 29, 2024",96,60,positive,positive
The Listener,"Opened Mar 29, 2024",,73,,positive
Asphalt City,"Opened Mar 29, 2024",,44,,negative
A Cat's Life,"Opened Mar 29, 2024",,,,
Light,"Opened Mar 29, 2024",,,,
Karaoke,"Opened Mar 29, 2024",,89,,positive
Bag of Lies,"Opened Mar 29, 2024",,,,
Mind Body & Soul,"Opened Mar 29, 2024",,,,
Ghostbusters: Frozen Empire,"Opened Mar 22, 2024",84,43,positive,negative
Dune: Part Two,"Opened Mar 01, 2024",95,93,positive,positive
Kung Fu Panda 4,"Opened Mar 08, 2024",86,72,positive,positive
Immaculate,"Opened Mar 22, 2024",61,71,positive,positive
Arthur the King,"Opened Mar 15, 2024",97,68,positive,positive
Late Night with the Devil,"Opened Mar 22, 2024",83,96,positive,positive
Imaginary,"Opened Mar 08, 2024",55,24,negative,negative
Love Lies Bleeding,"Opened Mar 15, 2024",81,93,positive,positive
Cabrini,"Opened Mar 08, 2024",98,91,positive,positive
Bob Marley: One Love,"Opened Feb 14, 2024",92,43,positive,negative
One Life,"Opened Mar 15, 2024",94,90,positive,positive
Luca,"Opened Mar 22, 2024",85,91,positive,positive
Exhuma,"Opened Mar 15, 2024",94,79,positive,positive
Problemista,"Opened Mar 22, 2024",87,89,positive,positive
The American Society of Magical Negroes,"Opened Mar 15, 2024",66,29,positive,negative
Ordinary Angels,"Opened Feb 23, 2024",99,85,positive,positive
Oppenheimer,"Opened Jul 21, 2023",91,93,positive,positive
Migration,"Opened Dec 22, 2023",88,73,positive,positive
Argylle,"Opened Feb 02, 2024",72,32,positive,negative
YOLO,"Opened Mar 08, 2024",90,86,positive,positive
Perfect Days,"Opened Nov 10, 2023",90,96,positive,positive
Madame Web,"Opened Feb 14, 2024",57,12,negative,negative
The Beekeeper,"Opened Jan 12, 2024",92,71,positive,positive
Wonka,"Opened Dec 15, 2023",91,82,positive,positive
The Taste of Things,"Opened Dec 15, 2023",74,97,positive,positive
Poor Things,"Opened Dec 08, 2023",79,92,positive,positive
Snack Shack,"Opened Mar 15, 2024",90,72,positive,positive
Remembering Gene Wilder,"Opened Mar 15, 2024",100,90,positive,positive
Femme,"Opened Mar 22, 2024",86,92,positive,positive
The Heart Stays,"Opened Mar 22, 2024",,,,
Do Not Expect Too Much from the End of the World,"Opened Mar 15, 2024",62,98,positive,positive
About Dry Grasses,"Opened Feb 23, 2024",93,93,positive,positive
The Peasants,"Opened Dec 08, 2023",94,59,positive,negative
Nostalghia,"Opened Jan 08, 1984",90,88,positive,positive
Pastor's Kid,"Opened Mar 15, 2024",100,,positive,
Accidental Texan,"Opened Mar 08, 2024",95,55,positive,negative
Shayda,"Opened Dec 01, 2023",71,97,positive,positive
Limbo,"Opened Mar 22, 2024",,94,,positive
Free Time,"Opened Mar 22, 2024",100,89,positive,positive
High & Low - John Galliano,"Opened Mar 08, 2024",,82,,positive
Land of Bad,"Opened Feb 16, 2024",94,63,positive,positive
Stopmotion,"Opened Feb 23, 2024",52,89,negative,positive
Four Daughters,"Opened Oct 27, 2023",84,96,positive,positive
Tótem,"Opened Jan 26, 2024",88,97,positive,positive
The Teachers' Lounge,"Opened Dec 25, 2023",62,96,positive,positive
Club Zero,"Opened Mar 15, 2024",,65,,positive
Freud's Last Session,"Opened Jan 19, 2024",74,44,positive,negative
The Sweet East,"Opened Dec 01, 2023",52,80,negative,positive
Glitter & Doom,"Opened Mar 08, 2024",83,53,positive,negative
Red Right Hand,"Opened Feb 23, 2024",80,44,positive,negative
Inside the Yellow Cocoon Shell,"Opened Jan 19, 2024",72,98,positive,positive
They Shot the Piano Player,"Opened Oct 06, 2023",88,79,positive,positive
Household Saints,"Opened Sep 15, 1993",74,68,positive,positive
Golden Years,"Opened Feb 23, 2024",,90,,positive
The Monk and the Gun,"Opened Feb 09, 2024",100,92,positive,positive
Other People's Children,"Opened Apr 21, 2023",99,91,positive,positive
Bushman,"Opened Feb 02, 2024",,100,,positive
The Crime Is Mine,"Opened Dec 25, 2023",95,98,positive,positive
The Oath,"Opened Dec 08, 2023",86,30,positive,negative
Amélie,"Opened Nov 02, 2001",95,90,positive,positive
The Invisible Fight,"Opened Feb 23, 2024",,58,,negative
Skin Deep,"Opened Feb 02, 2024",,100,,positive
Sleeping Dogs,"Opened Mar 22, 2024",96,37,positive,negative
William Shatner: You Can Call Me Bill,"Opened Mar 22, 2024",94,86,positive,positive
Riddle Of Fire,"Opened Mar 22, 2024",92,81,positive,positive
Christspiracy,"Opened Mar 20, 2024",97,,positive,
Mai,"Opened Mar 22, 2024",99,,positive,
Swatantrya Veer Savarkar,"Opened Mar 22, 2024",92,0,positive,negative
Rad,"Opened Mar 21, 1986",90,42,positive,negative
Peter Five Eight,"Opened Mar 22, 2024",88,,positive,
Art Talent Show,"Opened Mar 22, 2024",,100,,positive
